"ENSEMBL","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ENTREZID","SYMBOL"
"ENSG00000047662",33.0051630247074,1.36036328641191,0.39363521032037,3.45589838191747,0.000548462046772849,0.00199760826137485,"27146","FAM184B"
"ENSG00000048540",259.814514018032,-2.08224633704159,0.326779969626348,-6.37201337469522,1.86562612234251e-10,2.79123474834391e-09,"55885","LMO3"
"ENSG00000048740",865.475315337926,-1.59784215667371,0.195825827783316,-8.15950671451647,3.36395579063173e-16,1.40388367223824e-14,"10659","CELF2"
"ENSG00000049249",9.08709963269869,2.48977766546595,0.430354260425093,5.78541423757862,7.23338577113052e-09,7.99677290660162e-08,"3604","TNFRSF9"
"ENSG00000050438",378.568819867448,2.63746660135161,0.350640219482511,7.52185988602246,5.40024412644722e-14,1.55928294810141e-12,"9498","SLC4A8"
"ENSG00000050628",986.11872219458,-1.32197095779133,0.271423260202138,-4.8705146228323,1.11307962976563e-06,7.68574568127597e-06,"5733","PTGER3"
"ENSG00000050730",11.6004205358691,1.28269601749014,0.337039379524107,3.80577491953993,0.000141360895211091,0.000599191070850669,"79931","TNIP3"
"ENSG00000051180",19.3199267973969,1.42172582337484,0.253155323286617,5.61602183559536,1.95403978309805e-08,1.97128242830551e-07,"5888","RAD51"
"ENSG00000051341",64.2932560408753,1.65672778806591,0.254880768753345,6.50001095088178,8.03141650854867e-11,1.29490378713606e-09,"10721","POLQ"
"ENSG00000051620",916.445465891454,-1.10234570624262,0.162821147151833,-6.77028583525868,1.28528211885662e-11,2.40369980124497e-10,"23593","HEBP2"
"ENSG00000052344",367.12394208897,2.32542712146931,0.454097097585637,5.12099093747404,3.03934254623583e-07,2.35860250568579e-06,"5652","PRSS8"
"ENSG00000052850",56.7301960590034,-2.01399843387248,0.279208848860489,-7.21323282586507,5.46388726983289e-13,1.30479839696708e-11,"60529","ALX4"
"ENSG00000053108",52.8814777771288,1.33545498189599,0.328771041556768,4.06196049254356,4.86623139417623e-05,0.000231761255588045,"23105","FSTL4"
"ENSG00000053254",1444.57537634501,-1.48552232287988,0.180066263320293,-8.24986477471081,1.58573857621288e-16,7.00880826605483e-15,"1112","FOXN3"
"ENSG00000053328",14.7961015923899,-1.05096140738451,0.286517735590925,-3.66805009545733,0.000244407304487221,0.00097695177238671,"728464","METTL24"
"ENSG00000053438",99.9261981607701,-3.79707432169606,0.431573432988322,-8.7982114547788,1.39013910460981e-18,8.23863718663501e-17,"4826","NNAT"
"ENSG00000053702",29.9274200498661,-1.4866512784344,0.285653951598162,-5.20437848003489,1.94646944508942e-07,1.58322869912281e-06,"83714","NRIP2"
"ENSG00000053747",793.360886710178,-1.41175997594886,0.21269648942415,-6.63743900884789,3.19179959491549e-11,5.50516504218048e-10,"3909","LAMA3"
"ENSG00000054356",9.6948528154062,1.83330604141989,0.690217663612843,2.65612739005218,0.0079043748698894,0.02061713855231,"5798","PTPRN"
"ENSG00000054392",171.390415436148,1.09584821798752,0.156916941260291,6.98361954538577,2.87670440023514e-12,6.0366606969526e-11,"55733","HHAT"
