GO_ID,Name,Namespace,Enrichment,Study_Count,Study_Total,Population_Count,Population_Total,P_Value,FDR
GO:0009059,macromolecule biosynthetic process,BP,p,122,3765,1115,20413,2.199286324763816e-12,3.988493332157954e-10
GO:0030163,protein catabolic process,BP,p,70,3765,750,20413,2.3664198582717474e-12,4.1515419511900325e-10
GO:0006511,ubiquitin-dependent protein catabolic process,BP,p,43,3765,546,20413,2.3295669554023453e-12,4.1515419511900325e-10
GO:0043062,extracellular structure organization,BP,e,82,3765,210,20413,2.352769347088129e-12,4.1515419511900325e-10
GO:0006913,nucleocytoplasmic transport,BP,p,5,3765,205,20413,2.3702259712547396e-12,4.1515419511900325e-10
GO:0141188,nucleic acid catabolic process,BP,p,8,3765,237,20413,2.523622237515836e-12,4.3827619079162735e-10
GO:0045229,external encapsulating structure organization,BP,e,82,3765,211,20413,2.928715599121611e-12,5.043543594352871e-10
GO:0070161,anchoring junction,CC,e,240,3765,858,20413,3.117841320474125e-12,5.324493515039687e-10
GO:0048870,cell motility,BP,e,233,3765,829,20413,3.674867256957576e-12,6.223888817919967e-10
GO:0019941,modification-dependent protein catabolic process,BP,p,45,3765,556,20413,3.8465039427205e-12,6.461180762145181e-10
GO:0065008,regulation of biological quality,BP,e,538,3765,2245,20413,3.969296869944461e-12,6.613235833802589e-10
GO:0071495,cellular response to endogenous stimulus,BP,e,157,3765,505,20413,4.060477175297983e-12,6.710593447853352e-10
GO:0048018,receptor ligand activity,MF,e,132,3765,403,20413,4.680809148429199e-12,7.673905750300767e-10
GO:0008033,tRNA processing,BP,p,0,3765,128,20413,6.8005045051126545e-12,1.106053482724394e-09
GO:0030546,signaling receptor activator activity,MF,e,133,3765,412,20413,9.020860072606664e-12,1.4556258698262076e-09
GO:0045597,positive regulation of cell differentiation,BP,e,199,3765,689,20413,1.070090559869613e-11,1.7132317065162485e-09
GO:0030335,positive regulation of cell migration,BP,e,156,3765,507,20413,1.079537420448086e-11,1.7149581672281105e-09
GO:0050678,regulation of epithelial cell proliferation,BP,e,92,3765,253,20413,1.3526259098615286e-11,2.1322586746763315e-09
GO:0033993,response to lipid,BP,e,187,3765,639,20413,1.5452363521343153e-11,2.4172922568159177e-09
GO:0007188,adenylate cyclase-modulating G protein-coupled receptor signaling pathway,BP,e,80,3765,210,20413,1.9074513897277435e-11,2.9613182825523217e-09
GO:0044057,regulation of system process,BP,e,143,3765,458,20413,2.7513862619105197e-11,4.239410425964833e-09
GO:0072594,establishment of protein localization to organelle,BP,p,11,3765,254,20413,2.779542939790672e-11,4.2508338406813615e-09
GO:0005125,cytokine activity,MF,e,61,3765,144,20413,2.943913540214427e-11,4.4688607540455e-09
GO:0048646,anatomical structure formation involved in morphogenesis,BP,e,140,3765,446,20413,3.475768610486453e-11,5.237421039316094e-09
